,precision,recall,f1-score,support
正常,0.955128974205159,0.9040426981603452,0.9288839624292632,8806.0
松动,0.6967675731144176,0.9509803921568627,0.8042641397690258,1428.0
轴承故障,0.9256827731092437,0.8463385354141657,0.8842342907312178,4165.0
转子不平衡,0.9562460367786937,0.9747899159663865,0.9654289372599232,3094.0
联轴器不对中,0.8937162036173784,0.9366816494039476,0.9146946564885496,5117.0
汽蚀,0.9966397849462365,0.9969747899159664,0.9968072592841539,2975.0
accuracy,0.9231581004494821,0.9231581004494821,0.9231581004494821,0.9231581004494821
macro avg,0.904030224295188,0.9349679968362791,0.9157188743270223,25585.0
weighted avg,0.9285946063387327,0.9231581004494821,0.9241394751277019,25585.0
