,precision,recall,f1-score,support
Motor-2,0.9998241727327074,0.9996835554305404,0.9997538591371005,28441.0
Motor-4,0.9994183792167507,0.9996767937944409,0.999547569803516,15470.0
accuracy,0.9996811732823211,0.9996811732823211,0.9996811732823211,0.9996811732823211
macro avg,0.999621275974729,0.9996801746124906,0.9996507144703082,43911.0
weighted avg,0.9996812102474109,0.9996811732823211,0.999681182678114,43911.0
