,precision,recall,f1-score,support
正常,0.9254710308018776,0.8457424928013163,0.8838123311225743,17017.0
转子不平衡,0.904138770541692,0.960245636716225,0.9313479623824451,3094.0
联轴器不对中,0.7768660249329336,0.9620871604455736,0.8596123624934521,5117.0
松动,0.6308724832214765,0.8617265087853323,0.728446884081369,3927.0
轴承故障,0.8945192307692308,0.7896613190730838,0.8388260222713133,11781.0
汽蚀,0.9909182643794148,0.9902521008403361,0.9905850706119704,2975.0
accuracy,0.8635421648334131,0.8635421648334131,0.8635421648334131,0.8635421648334131
macro avg,0.853797634107771,0.9016192031103113,0.872105105493854,43911.0
weighted avg,0.8764345715794487,0.8635421648334131,0.8656116317196061,43911.0
