model,best_params,accuracy,balanced_accuracy,macro_precision,macro_recall,macro_f1,weighted_f1,group_majority_accuracy,group_majority_macro_f1,group_probability_accuracy,group_probability_macro_f1,cv_macro_f1_mean,cv_macro_f1_std,cv_macro_f1_min,cv_macro_f1_max
bp,"{'hidden_layer_sizes': [64, 32], 'alpha': 0.0001, 'learning_rate_init': 0.001, 'early_stopping': False, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",0.9431805242422172,0.9454905716465225,0.937966399016632,0.9454905716465225,0.9414631891908418,0.9434455225419527,1.0,1.0,1.0,1.0,0.9395125890840472,0.0033440540747134546,0.9349421206441532,0.9443501595369956
random_forest,"{'n_estimators': 120, 'max_depth': None, 'max_features': 'sqrt', 'class_weight': 'balanced_subsample'}",0.93935460363007,0.934191717488571,0.9399604570341679,0.934191717488571,0.9369362162802681,0.9390620981835397,1.0,1.0,1.0,1.0,0.9320425526968034,0.0018995425091646461,0.9296837932545756,0.935164375252059
svm,"{'C': 10.0, 'kernel': 'rbf', 'gamma': 'scale', 'class_weight': 'balanced'}",0.8635421648334131,0.9016192031103113,0.8537976341077709,0.9016192031103113,0.872105105493854,0.8656116317196061,0.9349593495934959,0.9347524154589372,0.975609756097561,0.9799275476009446,0.8639489532649971,0.01059197653244264,0.8500504190363273,0.8781632004584553
