model,best_params,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_正常,recall_正常,f1_正常,precision_松动,recall_松动,f1_松动,precision_轴承故障,recall_轴承故障,f1_轴承故障,precision_转子不平衡,recall_转子不平衡,f1_转子不平衡,precision_联轴器不对中,recall_联轴器不对中,f1_联轴器不对中,precision_汽蚀,recall_汽蚀,f1_汽蚀,cv_macro_f1_mean
bp,"{'hidden_layer_sizes': (64, 32), 'alpha': 0.0001, 'learning_rate_init': 0.001, 'early_stopping': False, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",0.9513777604064881,0.9506319916804576,0.945494835016584,0.9515570837389508,0.9525959367945824,0.9584374290256643,0.955507755009623,0.824748743718593,0.9194677871148459,0.8695364238410596,0.9517052526761265,0.9178871548619448,0.9344903446590076,0.9799482535575679,0.9793148028442146,0.979631425800194,0.9477552642034167,0.9323822552276725,0.9400059107477096,0.991304347826087,0.9963025210084033,0.9937971500419112,0.9408613120583086
random_forest,"{'n_estimators': 120, 'max_depth': None, 'max_features': 'sqrt', 'class_weight': 'balanced_subsample'}",0.9434825092827829,0.9346796335578826,0.935610174537652,0.9434353829108542,0.9425274479049967,0.9553713377242788,0.9489059327769005,0.8453463960811757,0.84593837535014,0.8456422821141057,0.9310596833130329,0.9176470588235294,0.924304715840387,0.9730869001297017,0.9699418228829993,0.9715118161217222,0.9375370626606049,0.9269102990033222,0.9321933962264151,0.9899396378269618,0.9922689075630252,0.9911029041463824,0.9320229326123466
svm,"{'C': 10.0, 'kernel': 'rbf', 'gamma': 'scale', 'class_weight': 'balanced'}",0.9231581004494821,0.9349679968362791,0.9157188743270223,0.9241394751277019,0.955128974205159,0.9040426981603452,0.9288839624292632,0.6967675731144176,0.9509803921568627,0.8042641397690258,0.9256827731092437,0.8463385354141657,0.8842342907312178,0.9562460367786937,0.9747899159663865,0.9654289372599232,0.8937162036173784,0.9366816494039476,0.9146946564885496,0.9966397849462365,0.9969747899159664,0.9968072592841539,0.920119404506466
