model,best_params,accuracy,balanced_accuracy,macro_f1,weighted_f1,precision_Motor-2,recall_Motor-2,f1_Motor-2,precision_Motor-4,recall_Motor-4,f1_Motor-4,cv_macro_f1_mean
bp,"{'hidden_layer_sizes': (64, 32), 'alpha': 0.001, 'learning_rate_init': 0.001, 'early_stopping': False, 'validation_fraction': 0.1, 'n_iter_no_change': 10}",0.999452804377565,0.9993079584775086,0.9994275975950015,0.9994527386493184,1.0,0.9986159169550173,0.9993074792243767,0.9990958408679927,1.0,0.9995477159656264,0.999549691440769
random_forest,"{'n_estimators': 120, 'max_depth': 20, 'max_features': 'sqrt', 'class_weight': 'balanced_subsample'}",0.9993355481727575,0.9991596638655462,0.9993049041437412,0.9993354511979822,1.0,0.9983193277310924,0.9991589571068125,0.9989023051591658,1.0,0.99945085118067,0.9995089491366846
svm,"{'C': 10.0, 'kernel': 'rbf', 'gamma': 'scale', 'class_weight': 'balanced'}",0.9992573773695524,0.9990608007909045,0.999223101476618,0.9992572561857106,1.0,0.9981216015818092,0.9990599178665084,0.9987733230034218,1.0,0.9993862850867276,0.9992321957073645
