,precision,recall,f1-score,support
正常,0.9525959367945824,0.9584374290256643,0.955507755009623,8806.0
松动,0.824748743718593,0.9194677871148459,0.8695364238410596,1428.0
轴承故障,0.9517052526761265,0.9178871548619448,0.9344903446590076,4165.0
转子不平衡,0.9799482535575679,0.9793148028442146,0.979631425800194,3094.0
联轴器不对中,0.9477552642034167,0.9323822552276725,0.9400059107477096,5117.0
汽蚀,0.991304347826087,0.9963025210084033,0.9937971500419112,2975.0
accuracy,0.9513777604064881,0.9513777604064881,0.9513777604064881,0.9513777604064881
macro avg,0.9413429664627287,0.9506319916804576,0.9454948350165843,25585.0
weighted avg,0.9521558499534071,0.9513777604064881,0.9515570837389509,25585.0
