,precision,recall,f1-score,support
正常,0.9441366574330563,0.9613915496268437,0.9526859804920658,17017.0
转子不平衡,0.9734369938451571,0.9712346477052359,0.9723345736935771,3094.0
联轴器不对中,0.9247540034728922,0.9366816494039476,0.9306796116504854,5117.0
松动,0.8635750876246967,0.8156353450471098,0.8389209009952855,3927.0
轴承故障,0.939922647185217,0.928274340039046,0.9340621797061838,11781.0
汽蚀,0.9939373526439879,0.9919327731092437,0.9929340511440108,2975.0
accuracy,0.93935460363007,0.93935460363007,0.93935460363007,0.93935460363007
macro avg,0.9399604570341679,0.9341917174885711,0.9369362162802681,43911.0
weighted avg,0.9389812460197472,0.93935460363007,0.9390620981835397,43911.0
